TITEL   ="............."
VARIABLES = "x", "r"
ZONE T="CNET",          I = 281,   J = 21 F=POINT
#  k=0
0.000000  0.213835 
0.002809  0.214441 
0.005617  0.215078 
0.008426  0.215738 
0.011234  0.216415 
0.014043  0.217102 
0.016851  0.217792 
0.019660  0.218478 
0.022468  0.219154 
0.025277  0.219813 
0.028086  0.220447 
0.030894  0.221051 
0.033703  0.221617 
0.036511  0.222138 
0.039320  0.222608 
0.042128  0.223019 
0.044937  0.223366 
0.047746  0.223641 
0.050554  0.223846 
0.053363  0.223986 
0.056171  0.224068 
0.058980  0.224098 
0.061788  0.224082 
0.064597  0.224026 
0.067405  0.223937 
0.070214  0.223820 
0.073023  0.223682 
0.075831  0.223530 
0.078640  0.223368 
0.081448  0.223205 
0.084257  0.223044 
0.087065  0.222889 
0.089874  0.222736 
0.092683  0.222581 
0.095491  0.222419 
0.098300  0.222247 
0.101108  0.222061 
0.103917  0.221857 
0.106725  0.221632 
0.109534  0.221380 
0.112342  0.221098 
0.115151  0.220782 
0.117960  0.220429 
0.120768  0.220033 
0.123577  0.219592 
0.126385  0.219102 
0.129194  0.218559 
0.132002  0.217968 
0.134811  0.217340 
0.137620  0.216683 
0.140428  0.216006 
0.143237  0.215317 
0.146045  0.214627 
0.148854  0.213944 
0.151662  0.213277 
0.154471  0.212634 
0.157279  0.212026 
0.160088  0.211461 
0.162896  0.210948 
0.165705  0.210496 
0.168514  0.210114 
0.171322  0.209811 
0.174131  0.209596 
0.176939  0.209478 
0.179748  0.209460 
0.182557  0.209540 
0.185365  0.209713 
0.188174  0.209975 
0.190982  0.210323 
0.193791  0.210752 
0.196599  0.211259 
0.199408  0.211839 
0.202216  0.212488 
0.205025  0.213203 
0.207834  0.213980 
0.210642  0.214815 
0.213451  0.215703 
0.216259  0.216641 
0.219068  0.217625 
0.221876  0.218651 
0.224685  0.219715 
0.227493  0.220813 
0.230302  0.221941 
0.233110  0.223095 
0.235919  0.224272 
0.238728  0.225466 
0.241536  0.226675 
0.244345  0.227895 
0.247153  0.229122 
0.249962  0.230357 
0.252771  0.231598 
0.255579  0.232846 
0.258388  0.234099 
0.261196  0.235358 
0.264005  0.236622 
0.266813  0.237890 
0.269622  0.239161 
0.272430  0.240437 
0.275239  0.241715 
0.278048  0.242996 
0.280856  0.244279 
0.283665  0.245563 
0.286473  0.246849 
0.289282  0.248135 
0.292090  0.249421 
0.294899  0.250706 
0.297707  0.251991 
0.300516  0.253275 
0.303325  0.254556 
0.306133  0.255836 
0.308942  0.257113 
0.311750  0.258386 
0.314559  0.259656 
0.317367  0.260921 
0.320176  0.262182 
0.322985  0.263438 
0.325793  0.264688 
0.328602  0.265932 
0.331410  0.267169 
0.334219  0.268400 
0.337027  0.269623 
0.339836  0.270838 
0.342644  0.272044 
0.345453  0.273241 
0.348262  0.274429 
0.351070  0.275608 
0.353879  0.276775 
0.356687  0.277932 
0.359496  0.279078 
0.362304  0.280211 
0.365113  0.281333 
0.367922  0.282441 
0.370730  0.283537 
0.373539  0.284618 
0.376347  0.285686 
0.379156  0.286739 
0.381964  0.287776 
0.384773  0.288798 
0.387581  0.289804 
0.390390  0.290794 
0.393199  0.291766 
0.396007  0.292721 
0.398816  0.293658 
0.401624  0.294576 
0.404433  0.295475 
0.407241  0.296355 
0.410050  0.297215 
0.412859  0.298054 
0.415667  0.298873 
0.418476  0.299671 
0.421284  0.300446 
0.424093  0.301199 
0.426901  0.301930 
0.429710  0.302637 
0.432518  0.303320 
0.435327  0.303980 
0.438136  0.304614 
0.440944  0.305224 
0.443753  0.305810 
0.446561  0.306372 
0.449370  0.306912 
0.452178  0.307431 
0.454987  0.307930 
0.457795  0.308409 
0.460604  0.308869 
0.463413  0.309311 
0.466221  0.309737 
0.469030  0.310146 
0.471838  0.310540 
0.474647  0.310920 
0.477455  0.311287 
0.480264  0.311641 
0.483073  0.311984 
0.485881  0.312316 
0.488690  0.312638 
0.491498  0.312949 
0.494307  0.313250 
0.497115  0.313539 
0.499924  0.313817 
0.502732  0.314082 
0.505541  0.314334 
0.508350  0.314573 
0.511158  0.314798 
0.513967  0.315009 
0.516775  0.315205 
0.519584  0.315386 
0.522392  0.315552 
0.525201  0.315701 
0.528009  0.315833 
0.530818  0.315950 
0.533627  0.316049 
0.536435  0.316132 
0.539244  0.316198 
0.542052  0.316247 
0.544861  0.316279 
0.547669  0.316295 
0.550478  0.316293 
0.553287  0.316275 
0.556095  0.316239 
0.558904  0.316187 
0.561712  0.316117 
0.564521  0.316030 
0.567329  0.315927 
0.570138  0.315808 
0.572946  0.315674 
0.575755  0.315525 
0.578564  0.315361 
0.581372  0.315184 
0.584181  0.314993 
0.586989  0.314789 
0.589798  0.314572 
0.592606  0.314344 
0.595415  0.314104 
0.598223  0.313853 
0.601032  0.313591 
0.603841  0.313320 
0.606649  0.313039 
0.609458  0.312749 
0.612266  0.312450 
0.615075  0.312140 
0.617883  0.311819 
0.620692  0.311484 
0.623501  0.311133 
0.626309  0.310765 
0.629118  0.310379 
0.631926  0.309971 
0.634735  0.309541 
0.637543  0.309087 
0.640352  0.308607 
0.643161  0.308099 
0.645969  0.307562 
0.648778  0.306994 
0.651586  0.306393 
0.654395  0.305758 
0.657203  0.305086 
0.660012  0.304377 
0.662820  0.303635 
0.665629  0.302861 
0.668438  0.302059 
0.671246  0.301231 
0.674055  0.300381 
0.676863  0.299510 
0.679672  0.298622 
0.682480  0.297720 
0.685289  0.296806 
0.688097  0.295883 
0.690906  0.294954 
0.693715  0.294022 
0.696523  0.293090 
0.699332  0.292160 
0.702140  0.291235 
0.704949  0.290318 
0.707757  0.289412 
0.710566  0.288519 
0.713374  0.287643 
0.716183  0.286786 
0.718992  0.285950 
0.721800  0.285133 
0.724609  0.284336 
0.727417  0.283557 
0.730226  0.282795 
